REG_NO|ITEM_SKU|BUYER_EMAIL|PURCHASED_ON|SALES_CH|COVER_YRS|ZONE
WR-202500001|SKU-P1005|diego.moreau267@example.com|14.03.2025|MKT|5|APJ
WR-202600002|SKU-P1097|anders.ferreira467@example.com|03.02.2026|WEB|2|LATM
WR-202500003|SKU-P1027|tomas.haddad270@example.com|11.06.2025|MKT|1|EMEA
WR-202500004|SKU-P1084|hugo.okafor224@example.com|21.12.2025|MKT|3|APJ
WR-202500005|SKU-P1105|freya.nilsson311@example.com|26.07.2025|MKT|1|LATM
WR-202500006|SKU-P1019|liam.barros756@example.com|15.06.2025|MKT|1| APJ 
WR-202500007|SKU-P1074|orders@lindqvist499.example.com|19.08.2025|BULK|1|APJ
WR-202500008|SKU-P1093|orders@kowalski533.example.com|22.05.2025|BULK|3|EMEA
WR-202500009|SKU-P1013|orders@andersen245.example.com|25.08.2025|BULK|1|EMEA
WR-202600010|SKU-P1001|orders@jensen148.example.com|23.06.2026|WEB|5|APJ
WR-202500011|SKU-P1025|orders@egan637.example.com|02.09.2025|BULK|1|APJ
WR-202500012|SKU-P1047|viktor.marchetti289@example.com|15.07.2025|WEB|3|EMEA
WR-202500013|SKU-P1035|orders@hartley204.example.com|02.07.2025|BULK|3|APJ
WR-202500014|SKU-P1021|ava.klein411@example.com|21.09.2025|SHOP|2|APJ
WR-202500015|SKU-P1056|marco.petrov745@example.com|03.11.2025|SHOP|1|LATM
WR-202500016|SKU-P1059|ava.petrov343@example.com|27.07.2025|SHOP|1|EMEA
WR-202600017|SKU-P1026|sam.costa712@example.com|07.07.2026|WEB|3|EMEA
WR-202600018|SKU-P1077|lucas.sato12@example.com|12.05.2026|WEB|5|EMEA
WR-202500019|SKU-P1056|maya.kowalski699@example.com|08.08.2025|WEB|1|EMEA
WR-202600020|SKU-P1006|orders@egan637.example.com|15.07.2026|MKT|2|APJ
WR-202500021|SKU-P1021|orders@keller560.example.com|14.10.2025|BULK|3| AMER 
WR-202500022|SKU-P1038|nadia.fischer50@example.com|16.11.2025|SHOP|1|EMEA
WR-202500023|SKU-P1029|freya.ortiz44@example.com|21.09.2025|WEB|1|AMER
WR-202500024|SKU-P1118|ines.kowalski398@example.com|30.07.2025|WEB|2|APJ
WR-202500025|SKU-P1093|orders@lindqvist499.example.com|09.04.2025|WEB|1|APJ
WR-202500026|SKU-P1017|freya.nguyen153@example.com|02.07.2025|SHOP|1|APJ
WR-202600027|SKU-P1036|orders@novak554.example.com|21.05.2026|BULK|2|AMER
WR-202600028|SKU-P1061|orders@berg493.example.com|26.04.2026|WEB|1|APJ
WR-202600029|SKU-P1053|arjun.holm265@example.com|09.01.2026|WEB|3|EMEA
WR-202600030|SKU-P1058|emma.okafor67@example.com|27.03.2026|SHOP|2|AMER
WR-202600031|SKU-P1021|hugo.duarte27@example.com|23.02.2026|WEB|3|LATM
